1	Kojeg je spola lik prikazan na Da Vincijevu crtežu koji je nastao inspiracijom iz dijela starorimskog arhitekta Vitruvija?	A=Muškog	B=Ženskog	C=Neodređenog	COR=A
2	Na kojem je poluotoku Romul osnovao Rim?	A=Balkanskom	B=Apeninskom	C=Pirenejskom	COR=B
3	Koji rimski car dolazi na vlast 27.g. pr. Kr. i na vlasti ostaje idućih 40 godina?	A=Tiberije	B=Kaligula	C=August	COR=C
4	Kraj kojega se antičkog naselja u današnjoj Grčkoj odvila odlučujuća bitka 31.g. pr. Kr. između Oktavijana i Marka Antonija za vlast nad Rimom?	A=Akcija	B=Nikopola	C=Patrasa	COR=A
5	Bitka kod Drača iz 48.g. pr. Kr. se vodila između dva rimska velikana, Gaja Julija Cezara i koga još?	A=Marka Antonija	B=Pompeja Velikog	C=Marka Licinija Krasa	COR=B
6	Smrt kojeg tračanina gladijatora je 1882.g. naslikao njemački ilustrator Hermann Vogel?	A=Kriksa	B=Gannika	C=Spartaka	COR=C
7	Koji je vojskovođa i kralj Alba Longe bio pogubljen (trganjem na komade potezanjem konja) od strane rimskog kralja Tula Hostilija zbog izdaje na bojištu?	A=Mecije Fufecije	B=Gaj Kluilije	C=Numitor	COR=A
8	Kako se zvala sveta granica grada Rima koju je zidovima utvrdio rimski kralj Servije Tulije?	A=Limes	B=Pomerium	C=Agger	COR=B
9	Koji je starorimski povjesničar u 142 knjige opisao povijest Rima od kraljevine do početaka Rimskog Carstva?	A=Tacit	B=Svetonije	C=Tit Livije	COR=C
10	Koja rijeka je spasila tek rođene Romula i Rema te ih naposlijetku odvela vučici?	A=Tiber	B=Po	C=Arno	COR=A
11	U mitologiji, koji je grad, trojanski junak Eneja, osnovao u današnjoj talijanskoj pokrajini Laciji?	A=Alba Longa	B=Lavinij	C=Ostija	COR=B
12	U kojoj današnjoj državi možemo pronaći ostatke rimskih gradova Pole, Salone i Narone?	A=Italiji	B=Bosni i Hercegovini	C=Hrvatskoj	COR=C
